Day,Level,Prestige,TotalGold,CurrentMap,DailyExp,DailyGold
1,46,0,839974,7,838809,839974
2,73,0,2758100,7,1795239,1918126
3,18,1,2440722,7,1902371,2039555
4,44,1,3464556,7,675606,1023834
5,64,1,5203132,7,1147353,1738576
6,81,1,7515071,7,1525760,2311939
7,21,2,4727970,7,1152449,1762516
8,44,2,5792768,7,638780,1064798
9,62,2,7503680,7,1026449,1710912
10,78,2,9742602,7,1343256,2238922
11,11,3,6032391,7,1368636,2284940
12,36,3,6827598,7,429289,795207
13,54,3,8280756,7,784590,1453158
14,69,3,10249156,7,1062816,1968400
15,82,3,12665633,7,1304782,2416477
16,18,4,7289685,7,938898,1756398
17,39,4,8215498,7,444275,925813
18,54,4,9700044,7,712462,1484546
19,67,4,11641445,7,931759,1941401
20,79,4,13986235,7,1125382,2344790
21,8,5,8236800,7,1184255,2468613
22,32,5,8915100,7,305119,678300
23,48,5,10186846,7,572177,1271746
24,61,5,11920102,7,779858,1733256
25,73,5,14053821,7,960052,2133719
26,84,5,16549699,7,1123028,2495878
27,17,6,9216822,7,776729,1736182
28,35,6,10069751,7,358119,852929
29,50,6,11434331,7,572995,1364580
30,62,6,13217994,7,749023,1783663
31,73,6,15371530,7,904375,2153536
32,83,6,17862487,7,1046074,2490957
33,13,7,9935925,7,806346,1922648
34,33,7,10696685,7,310272,760760
35,47,7,11978672,7,522934,1281987
36,59,7,13679742,7,693909,1701070
37,70,7,15749089,7,844167,2069347
38,80,7,18153064,7,980716,2403975
39,5,8,10401478,7,1079610,2646567
40,28,8,10965797,7,219967,564319
41,42,8,12090046,7,438332,1124249
42,55,8,13640028,7,604385,1549982
43,65,8,15558420,7,748038,1918392
44,75,8,17809445,7,877795,2251025
45,85,8,20368498,7,997911,2559053
46,17,9,11101018,7,644526,1658377
47,34,9,11942110,7,317818,841092
48,47,9,13250697,7,494518,1308587
49,59,9,14946181,7,640768,1695484
50,69,9,16984539,7,770374,2038358
51,78,9,19335846,7,888693,2351307
52,87,9,21979487,7,999175,2643641
53,22,10,11719448,7,413766,1111481
54,37,10,12679043,7,345341,959595
55,49,10,14062110,7,497794,1383067
56,60,10,15805341,7,627453,1743231
57,70,10,17871097,7,743540,2065756
58,78,10,20234241,7,850623,2363144
59,87,10,22875355,7,950685,2641114
60,20,11,12164389,7,418522,1172262
61,35,11,13055223,7,309880,890834
62,47,11,14369795,7,457357,1314572
63,58,11,16041339,7,581577,1671544
64,67,11,18032083,7,692667,1990744
65,76,11,20315427,7,794504,2283344
66,84,11,22872086,7,889602,2556659
67,14,12,12463800,7,677276,1951908
68,30,12,13176148,7,234964,712348
69,42,12,14330322,7,380757,1154174
70,53,12,15844926,7,499707,1514604
71,62,12,17677666,7,604686,1832740
72,71,12,19800080,7,700270,2122414
73,79,12,22191686,7,789097,2391606
74,87,12,24836923,7,872793,2645237
75,19,13,13194117,7,425340,1302868
76,33,13,14019116,7,257244,824999
77,44,13,15240056,7,380794,1220940
78,54,13,16793895,7,484666,1553839
79,62,13,18645787,7,577660,1851892
80,71,13,20770595,7,662824,2124808
81,78,13,23150231,7,742338,2379636
82,86,13,25770863,7,817541,2620632
83,16,14,13773140,7,512999,1627521
84,32,14,14546269,7,268918,773129
85,44,14,15768140,7,425092,1221871
86,55,14,17359485,7,553676,1591345
87,65,14,19277212,7,667252,1917727
88,74,14,21493391,7,771118,2216179
89,82,14,23986742,7,867592,2493351
90,9,15,13254743,7,870281,2501198
91,28,15,13860026,7,210510,605283
92,41,15,14958872,7,382278,1098846
93,52,15,16444881,7,517005,1486009
94,62,15,18268045,7,634356,1823164
95,71,15,20397109,7,740797,2129064
96,80,15,22809330,7,839346,2412221
97,88,15,25487418,7,931859,2678088
98,23,16,13418883,7,335335,963984
99,37,16,14386591,7,336638,967708
100,49,16,15763540,7,479059,1376949
101,59,16,17490013,7,600693,1726473
102,69,16,19530233,7,709898,2040220
103,77,16,21859994,7,810636,2329761
104,86,16,24460011,7,904709,2600017
105,17,17,13102751,7,546615,1571129
106,33,17,13904342,7,278831,801591
107,45,17,15148823,7,432953,1244481
108,56,17,16759054,7,560248,1610231
109,65,17,18694071,7,673273,1935017
110,74,17,20925944,7,776585,2231873
111,83,17,23434590,7,872910,2508646
112,9,18,12911369,7,820018,2356760
113,28,18,13522903,7,212686,611534
114,41,18,14625872,7,383714,1102969
115,52,18,16115206,7,518162,1489334
116,62,18,17941695,7,635514,1826489
117,71,18,20073419,7,741724,2131724
118,80,18,22488433,7,840317,2415014
119,88,18,25168915,7,932691,2680482
120,22,19,13221128,7,315804,907858
