Day,Level,Prestige,TotalGold,CurrentMap,DailyExp,DailyGold
1,8,0,3024,0,9424,3024
2,13,0,18122,6,20102,15098
3,16,0,47140,6,28288,29018
4,19,0,82539,6,26546,35399
5,21,0,130547,7,30332,48008
6,24,0,186911,7,33804,56364
7,26,0,249071,7,37287,62160
8,28,0,316439,7,40404,67368
9,30,0,388931,7,43484,72492
10,32,0,466211,7,46360,77280
11,34,0,548195,7,49176,81984
12,35,0,634967,7,52053,86772
13,37,0,726275,7,54770,91308
14,39,0,821783,7,57292,95508
15,40,0,921491,7,59817,99708
16,42,0,1025567,7,62430,104076
17,44,0,1133507,7,64752,107940
18,45,0,1245563,7,67224,112056
19,47,0,1361399,7,69490,115836
20,48,0,1481099,7,71805,119700
21,50,0,1604579,7,74075,123480
22,51,0,1731755,7,76300,127176
23,53,0,1862459,7,78403,130704
24,54,0,1996943,7,80680,134484
25,55,0,2134703,7,82650,137760
26,57,0,2276243,7,84910,141540
27,58,0,2421143,7,86925,144900
28,60,0,2569151,7,88790,148008
29,61,0,2720939,7,91070,151788
30,62,0,2875835,7,92920,154896
31,63,0,3033839,7,94791,158004
32,65,0,3195371,7,96905,161532
33,66,0,3360095,7,98830,164724
34,67,0,3527843,7,100630,167748
35,68,0,3698615,7,102453,170772
36,70,0,3872747,7,104464,174132
37,71,0,4049987,7,106340,177240
38,72,0,4230167,7,108090,180180
39,73,0,4413287,7,109860,183120
40,74,0,4599347,7,111620,186060
41,76,0,4788599,7,113549,189252
42,77,0,4980791,7,115300,192192
43,78,0,5175839,7,117012,195048
44,79,0,5373743,7,118730,197904
45,80,0,5574419,7,120399,200676
46,81,0,5777951,7,122110,203532
47,82,0,5984255,7,123760,206304
48,84,0,6193499,7,125539,209244
49,85,0,6405599,7,127245,212100
50,86,0,6620471,7,128920,214872
51,87,0,6838031,7,130520,217560
52,88,0,7058279,7,132132,220248
53,89,0,7281215,7,133750,222936
54,7,1,3701087,7,67268,112812
55,11,1,3723515,7,12322,22428
56,14,1,3753923,7,16712,30408
57,16,1,3791471,7,20641,37548
58,19,1,3835067,7,23964,43596
59,21,1,3884711,7,27293,49644
60,23,1,3939815,7,30296,55104
61,25,1,4000043,7,33108,60228
62,27,1,4065227,7,35846,65184
63,29,1,4135115,7,38422,69888
64,31,1,4209539,7,40922,74424
65,32,1,4288667,7,43512,79128
66,34,1,4371995,7,45812,83328
67,36,1,4459355,7,48039,87360
68,37,1,4551083,7,50442,91728
69,39,1,4646591,7,52512,95508
70,40,1,4746047,7,54688,99456
71,42,1,4849283,7,56774,103236
72,43,1,4956299,7,58844,107016
73,45,1,5066927,7,60825,110628
74,46,1,5181335,7,62922,114408
75,47,1,5298935,7,64670,117600
76,49,1,5420399,7,66786,121464
77,50,1,5545139,7,68595,124740
78,52,1,5672987,7,70312,127848
79,53,1,5804615,7,72382,131628
80,54,1,5939351,7,74084,134736
81,55,1,6077195,7,75807,137844
82,57,1,6218315,7,77610,141120
83,58,1,6362711,7,79404,144396
84,59,1,6510131,7,81060,147420
85,60,1,6660575,7,82737,150444
86,62,1,6814043,7,84402,153468
87,63,1,6970787,7,86196,156744
88,64,1,7130387,7,87760,159600
89,65,1,7292927,7,89385,162540
90,66,1,7458323,7,90964,165396
91,67,1,7626575,7,92528,168252
92,69,1,7797683,7,94092,171108
93,70,1,7971899,7,95798,174216
94,71,1,8148887,7,97342,176988
95,72,1,8328647,7,98860,179760
96,73,1,8511095,7,100332,182448
97,74,1,8696315,7,101850,185220
98,75,1,8884223,7,103339,187908
99,76,1,9074819,7,104824,190596
100,77,1,9268103,7,106296,193284
101,78,1,9464075,7,107768,195972
102,79,1,9662651,7,109194,198576
103,80,1,9863831,7,110645,201180
104,81,1,10067699,7,112122,203868
105,82,1,10274087,7,113502,206388
106,83,1,10483079,7,114928,208992
107,84,1,10694675,7,116354,211596
108,85,1,10908791,7,117763,214116
109,86,1,11125427,7,119144,216636
110,87,1,11344583,7,120524,219156
111,88,1,11566259,7,121904,221676
112,89,1,11790371,7,123238,224112
113,9,2,5922359,7,20313,38388
114,12,2,5947727,7,12684,25368
115,14,2,5980151,7,16212,32424
116,16,2,6018539,7,19194,38388
117,19,2,6062639,7,22050,44100
118,21,2,6112115,7,24738,49476
119,23,2,6166547,7,27216,54432
120,24,2,6225767,7,29610,59220
